10/1/10,10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
9/30/10,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
9/29/10,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
9/28/10,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
9/27/10,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
9/24/10,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
9/23/10,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
9/22/10,10761.11,10829.75,10682.4,10739.31,3911070000,10739.31
9/21/10,10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
9/20/10,10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
9/17/10,10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
9/16/10,10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
9/15/10,10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
9/14/10,10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
9/13/10,10458.6,10605.73,10458.45,10544.13,4521050000,10544.13
9/10/10,10415.01,10502.8,10376.34,10462.77,3061160000,10462.77
9/9/10,10388.22,10515.86,10359.23,10415.24,3387770000,10415.24
9/8/10,10338.57,10460.5,10318.93,10387.01,3224640000,10387.01
9/7/10,10446.8,10448.99,10304.44,10340.69,3107380000,10340.69
9/3/10,10321.92,10484.71,10321.92,10447.93,3534500000,10447.93
9/2/10,10270.08,10350.98,10211.8,10320.1,3704210000,10320.1
9/1/10,10016.01,10305.87,10016.01,10269.47,4396880000,10269.47
8/31/10,10006.42,10101.53,9915.73,10014.72,4038770000,10014.72
8/30/10,10145.58,10170.1,10005.56,10009.73,2917990000,10009.73
8/27/10,9982.4,10176.3,9925.11,10150.65,4102460000,10150.65
8/26/10,10059.83,10138.12,9959.17,9985.81,3646710000,9985.81
8/25/10,10040.15,10104.18,9925.34,10060.06,4360190000,10060.06
8/24/10,10170.86,10170.86,9975.86,10040.45,4436330000,10040.45
8/23/10,10215.51,10328.88,10146.18,10174.41,3210950000,10174.41
8/20/10,10270.98,10276.13,10131.88,10213.62,3761570000,10213.62
