source,target,value
3405545782,2832807293,2/19/16 14:27
433851538,1964112182,2/19/16 14:27
532701470,25073877,2/19/16 14:27
311729987,613542402,2/19/16 14:27
37025524,261330050,2/19/16 14:27
25023858,16250929,2/19/16 14:27
7.00687E+17,109361219,2/19/16 14:27
1297327892,330772159,2/19/16 14:27
4163601460,1541028804,2/19/16 14:27
148933402,42782290,2/19/16 14:27
1411308218,17539069,2/19/16 14:27
28791378,61816136,2/19/16 14:27
183753455,17167572,2/19/16 14:27
2191568058,46775436,2/19/16 14:27
3044926223,41984111,2/19/16 14:27
613092506,2274924564,2/19/16 14:27
2994292622,2955886957,2/19/16 14:27
2560671722,4124058088,2/19/16 14:27
377170560,28785486,2/19/16 14:27
179099202,28785486,2/19/16 14:27
4886122745,18428796,2/19/16 14:27
314173199,351951741,2/19/16 14:27
346000630,918346674,2/19/16 14:27
449786031,49658852,2/19/16 14:27
342969097,5695632,2/19/16 14:27
3981767464,4263893061,2/19/16 14:27
1709565278,2679989365,2/19/16 14:27
1827938911,2832807293,2/19/16 14:27
16632368,289981219,2/19/16 14:27
4218951012,2832807293,2/19/16 14:27
4683164472,28785486,2/19/16 14:27
180965368,4248833539,2/19/16 14:27
844160664,16855888,2/19/16 14:27
921818702,4189951774,2/19/16 14:27
47421452,16711026,2/19/16 14:27
3486681316,2832807293,2/19/16 14:27
4862076872,620571475,2/19/16 14:27
3387126820,1536104407,2/19/16 14:27
7.00685E+17,97272474,2/19/16 14:27
4111631055,3817413628,2/19/16 14:27
148297969,4204344279,2/19/16 14:27
16067067,6.99345E+17,2/19/16 14:27
56809082,18791763,2/19/16 14:27
3633874334,25073877,2/19/16 14:27
3682896378,16031927,2/19/16 14:27
3231060554,149249831,2/19/16 14:27
561638856,16664681,2/19/16 14:27
396073671,193083959,2/19/16 14:27
232893668,261330050,2/19/16 14:27
2811637112,27987687,2/19/16 14:27
30720115,2347049341,2/19/16 14:27
83871133,16898332,2/19/16 14:27
237684796,170296342,2/19/16 14:27
4043751910,3497865853,2/19/16 14:27
473279639,18772897,2/19/16 14:27
3685465332,4501155257,2/19/16 14:27
524076397,5695632,2/19/16 14:27
1260327650,812806272,2/19/16 14:27
3399235462,347627434,2/19/16 14:27
11691422,42825230,2/19/16 14:27
1449625616,1049171,2/19/16 14:27
406525423,322755208,2/19/16 14:27
1193308286,313091751,2/19/16 14:27
2541719725,6160792,2/19/16 14:27
426957556,4228386516,2/19/16 14:27
100834633,952804404,2/19/16 14:27
2194576880,2832807293,2/19/16 14:27
532701470,25073877,2/19/16 14:27
3399235462,347627434,2/19/16 14:27
2313873271,2274924564,2/19/16 14:27
3319360957,3167239173,2/19/16 14:27
4029747432,23047147,2/19/16 14:27
95502178,217158737,2/19/16 14:27
740769140,67514751,2/19/16 14:27
611231642,347627434,2/19/16 14:27
3095645451,2976653309,2/19/16 14:27
596013209,620571475,2/19/16 14:27
2729691812,2908170952,2/19/16 14:27
44803752,3196556006,2/19/16 14:27
48542316,2467791,2/19/16 14:27
2678763637,2697587450,2/19/16 14:27
1190665808,17167572,2/19/16 14:27
443292333,928618363,2/19/16 14:27
1491123691,14293310,2/19/16 14:27
2346027386,150052601,2/19/16 14:27
563614665,506429053,2/19/16 14:28
3305863079,4055350673,2/19/16 14:28
303760085,90480218,2/19/16 14:28
2204049792,2274924564,2/19/16 14:28
1064203465,3314758074,2/19/16 14:28
215149404,280626648,2/19/16 14:28
3018627712,4248833539,2/19/16 14:28
45643941,15027086,2/19/16 14:28
1612810015,2274924564,2/19/16 14:28
148297969,4204344279,2/19/16 14:28
3399235462,328878936,2/19/16 14:28
16884804,61816136,2/19/16 14:28
4921315393,927386262,2/19/16 14:28
431488680,154236193,2/19/16 14:28
4029747432,450171502,2/19/16 14:28
339194362,75020778,2/19/16 14:28
114622915,18678924,2/19/16 14:28
4884499936,6730222,2/19/16 14:28
1427815916,1517872886,2/19/16 14:28
3735801916,4768403439,2/19/16 14:28
2945161526,2832807293,2/19/16 14:28
742934149,14173315,2/19/16 14:28
7.00686E+17,109361219,2/19/16 14:28
1358415961,150052601,2/19/16 14:28
407428673,2274924564,2/19/16 14:28
1014248527,3448846420,2/19/16 14:28
2815761362,149249831,2/19/16 14:28
3167629417,2347049341,2/19/16 14:28
52141764,4708379511,2/19/16 14:28
4854518038,506429053,2/19/16 14:28
7.00686E+17,109361219,2/19/16 14:28
76345655,4124058088,2/19/16 14:28
71795783,4124058088,2/19/16 14:28
561725979,6160792,2/19/16 14:28
194615561,7702542,2/19/16 14:28
2495926000,2832807293,2/19/16 14:28
557778381,2853919564,2/19/16 14:28
2849897735,2798075707,2/19/16 14:28
1445358054,33276161,2/19/16 14:28
115237863,24733117,2/19/16 14:28
3523359616,147602027,2/19/16 14:28
251382525,28785486,2/19/16 14:28
4827984385,1584100699,2/19/16 14:28
4111631055,531506617,2/19/16 14:28
385024622,912791533,2/19/16 14:28
351151761,28785486,2/19/16 14:28
311820746,2697587450,2/19/16 14:28
1254407401,1247286936,2/19/16 14:28
3885497892,2908170952,2/19/16 14:28
787746186,407261533,2/19/16 14:28
3028862632,2274924564,2/19/16 14:28
1568851314,474464413,2/19/16 14:28
25023858,149249831,2/19/16 14:28
2870185205,46775436,2/19/16 14:28
3399235462,347627434,2/19/16 14:28
1834889328,1084817426,2/19/16 14:28
28004004,14529929,2/19/16 14:28
611231642,620571475,2/19/16 14:28
3226823395,18510860,2/19/16 14:28
3414065488,34713362,2/19/16 14:28
188528269,1187647735,2/19/16 14:28
372008236,914061,2/19/16 14:28
864866162,25073877,2/19/16 14:28
73440700,16253142,2/19/16 14:28
3380661135,3387188439,2/19/16 14:28
2576924275,29237757,2/19/16 14:28
3226823395,3108351,2/19/16 14:28
258240944,443304640,2/19/16 14:28
330037868,579144258,2/19/16 14:28
1630291262,274355165,2/19/16 14:28
3633874334,25073877,2/19/16 14:28
4698002720,326255267,2/19/16 14:28
539572417,2697587450,2/19/16 14:28
518556138,28061932,2/19/16 14:28
3006418240,940368062,2/19/16 14:28
3399235462,16190478,2/19/16 14:28
484793941,3497865853,2/19/16 14:28
296837154,2697587450,2/19/16 14:28
56578278,2646849841,2/19/16 14:28
28417879,6160792,2/19/16 14:28
3226823395,16955991,2/19/16 14:28
1677075974,42473442,2/19/16 14:28
2178747633,18396319,2/19/16 14:28
2373857028,190298721,2/19/16 14:28
3633874334,142150016,2/19/16 14:28
740769140,3110905846,2/19/16 14:28
66226233,807095,2/19/16 14:28
176259028,4124058088,2/19/16 14:28
2511026986,42825230,2/19/16 14:28
58808978,4107699213,2/19/16 14:28
503585510,33270656,2/19/16 14:28
838399572,16569075,2/19/16 14:28
1117849704,28785486,2/19/16 14:28
323749554,16711026,2/19/16 14:28
11691422,47448886,2/19/16 14:28
3683971032,1097852275,2/19/16 14:28
15864446,90878730,2/19/16 14:29
2369617538,2930053749,2/19/16 14:29
3038848408,1541028804,2/19/16 14:29
95502178,262240503,2/19/16 14:29
1305423511,2646849841,2/19/16 14:29
4906822355,18791763,2/19/16 14:29
105004195,33989747,2/19/16 14:29
223382695,42825230,2/19/16 14:29
69461475,26329195,2/19/16 14:29
455245270,18791763,2/19/16 14:29
3677594795,17980523,2/19/16 14:29
838627057,17167572,2/19/16 14:29
3355684354,4716827713,2/19/16 14:29
194172554,332865175,2/19/16 14:29
